Security Code,Date,Opening Price,High Sale Price,Low Sale Price,Closing Price,Total Volume Traded
ZCNH,27/07/2015,10.44,10.44,10.44,10.44,0
ZCNH,31/07/2015,10.49,10.49,10.49,10.49,0
ZCNH,28/01/2016,10.2,10.2,10.2,10.2,750
ZCNH,22/02/2016,10.2,10.2,10.2,10.2,0
ZCNH,23/02/2016,10.2,10.2,10.2,10.2,0
ZCNH,24/02/2016,10.2,10.2,10.2,10.2,0
ZCNH,25/02/2016,10.2,10.2,10.2,10.2,0
ZCNH,26/02/2016,10.2,10.2,10.2,10.2,0
ZCNH,29/02/2016,10.2,10.2,10.2,10.2,0
ZCNH,1/03/2016,10.13,10.13,10.13,10.13,98
ZCNH,2/03/2016,10.13,10.13,10.13,10.13,0
ZCNH,3/03/2016,10.13,10.13,10.13,10.13,0
ZCNH,4/03/2016,10.13,10.13,10.13,10.13,0
ZCNH,7/03/2016,10.13,10.13,10.13,10.13,0
ZCNH,8/03/2016,10.13,10.13,10.13,10.13,0
ZCNH,9/03/2016,10.13,10.13,10.13,10.13,0
ZCNH,10/03/2016,10.13,10.13,10.13,10.13,0
ZCNH,11/03/2016,10.13,10.13,10.13,10.13,0
ZCNH,14/03/2016,10.13,10.13,10.13,10.13,0
ZCNH,15/03/2016,10.13,10.13,10.13,10.13,0
ZCNH,16/03/2016,10.13,10.13,10.13,10.13,0
ZCNH,17/03/2016,10.13,10.13,10.13,10.13,0
ZCNH,18/03/2016,10.13,10.13,10.13,10.13,0
ZCNH,21/03/2016,10.13,10.13,10.13,10.13,0
ZCNH,22/03/2016,10.13,10.13,10.13,10.13,0
ZCNH,23/03/2016,10.13,10.13,10.13,10.13,0
ZCNH,24/03/2016,10.13,10.13,10.13,10.13,0
ZCNH,29/03/2016,10.13,10.13,10.13,10.13,0
ZCNH,1/04/2016,10.13,10.13,10.13,10.13,0
ZCNH,4/04/2016,10.13,10.13,10.13,10.13,0
ZCNH,5/04/2016,10.13,10.13,10.13,10.13,0
ZCNH,6/04/2016,10.13,10.13,10.13,10.13,0
