Security Code,Date,Opening Price,High Sale Price,Low Sale Price,Closing Price,Total Volume Traded
ZGOL,27 Jul 2015,14.85,14.85,14.85,14.85,0
ZGOL,28 Jul 2015,15.04,15.04,15.04,15.04,79
ZGOL,29 Jul 2015,14.95,14.96,14.95,14.96,918
ZGOL,30 Jul 2015,14.97,14.97,14.97,14.97,66
ZGOL,31 Jul 2015,14.86,14.86,14.86,14.86,1000
ZGOL,03 Aug 2015,14.86,14.86,14.86,14.86,0
ZGOL,04 Aug 2015,14.85,14.85,14.8,14.8,600
ZGOL,05 Aug 2015,14.74,14.74,14.74,14.74,336
ZGOL,06 Aug 2015,14.74,14.74,14.74,14.74,0
ZGOL,07 Aug 2015,14.74,14.74,14.74,14.74,0
ZGOL,10 Aug 2015,14.74,14.74,14.74,14.74,0
ZGOL,11 Aug 2015,14.74,14.74,14.74,14.74,0
ZGOL,12 Aug 2015,14.74,14.74,14.74,14.74,0
ZGOL,13 Aug 2015,14.74,14.74,14.74,14.74,0
ZGOL,14 Aug 2015,0,0,0,0,0
ZGOL,17 Aug 2015,0,0,0,0,0
ZGOL,18 Aug 2015,0,0,0,0,0
ZGOL,19 Aug 2015,0,0,0,0,0
ZGOL,20 Aug 2015,0,0,0,0,0
ZGOL,21 Aug 2015,0,0,0,0,0
ZGOL,24 Aug 2015,0,0,0,0,0
ZGOL,25 Aug 2015,16.05,16.05,16,16,2549
ZGOL,26 Aug 2015,16.06,16.06,15.96,15.96,852
ZGOL,27 Aug 2015,15.78,15.78,15.78,15.78,200
ZGOL,28 Aug 2015,0,0,0,0,0
ZGOL,31 Aug 2015,0,0,0,0,0
ZGOL,01 Sep 2015,0,0,0,0,0
ZGOL,02 Sep 2015,0,0,0,0,0
ZGOL,03 Sep 2015,0,0,0,0,0
ZGOL,09 Sep 2015,16.13,16.13,16.13,16.13,0
ZGOL,10 Sep 2015,16.13,16.13,16.13,16.13,0
ZGOL,15 Sep 2015,15.49,15.49,15.49,15.49,0
ZGOL,16 Sep 2015,15.49,15.49,15.49,15.49,0
ZGOL,17 Sep 2015,15.49,15.49,15.49,15.49,0
ZGOL,18 Sep 2015,15.49,15.49,15.49,15.49,0
ZGOL,21 Sep 2015,15.49,15.49,15.49,15.49,0
ZGOL,22 Sep 2015,15.49,15.49,15.49,15.49,0
ZGOL,23 Sep 2015,15.49,15.49,15.49,15.49,0
ZGOL,24 Sep 2015,16.14,16.14,16.14,16.14,170
ZGOL,25 Sep 2015,16.14,16.14,16.14,16.14,0
ZGOL,28 Sep 2015,16.14,16.14,16.14,16.14,0
ZGOL,29 Sep 2015,16.14,16.14,16.14,16.14,0
ZGOL,30 Sep 2015,16.14,16.14,16.14,16.14,0
ZGOL,02 Oct 2015,15.85,15.85,15.85,15.85,0
ZGOL,07 Oct 2015,15.85,15.85,15.85,15.85,0
ZGOL,08 Oct 2015,15.85,15.85,15.85,15.85,0
ZGOL,09 Oct 2015,15.71,15.71,15.71,15.71,137
ZGOL,12 Oct 2015,15.71,15.71,15.71,15.71,0
ZGOL,13 Oct 2015,15.71,15.71,15.71,15.71,0
ZGOL,14 Oct 2015,15.71,15.71,15.71,15.71,0
ZGOL,15 Oct 2015,16.1,16.1,16.1,16.1,300
ZGOL,16 Oct 2015,16.1,16.1,16.1,16.1,0
ZGOL,19 Oct 2015,16.1,16.1,16.1,16.1,0
ZGOL,20 Oct 2015,16.1,16.1,16.1,16.1,0
ZGOL,21 Oct 2015,16.1,16.1,16.1,16.1,0
ZGOL,22 Oct 2015,16.1,16.1,16.1,16.1,0
ZGOL,23 Oct 2015,16.1,16.1,16.1,16.1,0
ZGOL,26 Oct 2015,16.1,16.1,16.1,16.1,0
ZGOL,27 Oct 2015,16.1,16.1,16.1,16.1,0
ZGOL,30 Oct 2015,16.18,16.18,16.16,16.16,865
ZGOL,31 Oct 2015,16.18,16.18,16.16,16.16,865
ZGOL,02 Nov 2015,15.97,15.97,15.97,15.97,60
ZGOL,03 Nov 2015,15.75,15.75,15.75,15.75,125
ZGOL,04 Nov 2015,15.75,15.75,15.75,15.75,0
ZGOL,05 Nov 2015,15.75,15.75,15.75,15.75,0
ZGOL,09 Nov 2015,15.48,15.48,15.48,15.48,72
ZGOL,10 Nov 2015,15.48,15.48,15.48,15.48,0
