Security Code,Date,Opening Price,High Sale Price,Low Sale Price,Closing Price,Total Volume Traded
ZOZI,27 Jul 2015,10.2,10.23,10.2,10.23,547
ZOZI,28 Jul 2015,10.26,10.26,10.26,10.26,490
ZOZI,29 Jul 2015,10.26,10.26,10.26,10.26,0
ZOZI,30 Jul 2015,10.26,10.26,10.26,10.26,0
ZOZI,31 Jul 2015,10.26,10.26,10.26,10.26,0
ZOZI,03 Aug 2015,10.26,10.26,10.26,10.26,0
ZOZI,04 Aug 2015,10.26,10.26,10.26,10.26,0
ZOZI,05 Aug 2015,10.26,10.26,10.26,10.26,0
ZOZI,06 Aug 2015,10.26,10.26,10.26,10.26,0
ZOZI,07 Aug 2015,10.26,10.26,10.26,10.26,0
ZOZI,10 Aug 2015,10.05,10.09,10.04,10.09,2778
ZOZI,11 Aug 2015,10.05,10.05,10.05,10.05,62
ZOZI,12 Aug 2015,9.88,9.88,9.88,9.88,100
ZOZI,13 Aug 2015,9.91,9.91,9.91,9.91,98
ZOZI,14 Aug 2015,0,0,0,0,0
ZOZI,17 Aug 2015,0,0,0,0,0
ZOZI,18 Aug 2015,0,0,0,0,0
ZOZI,19 Aug 2015,0,0,0,0,0
ZOZI,20 Aug 2015,9.78,9.78,9.78,9.78,600
ZOZI,21 Aug 2015,0,0,0,0,0
ZOZI,24 Aug 2015,0,0,0,0,0
ZOZI,25 Aug 2015,9.46,9.46,9.46,9.46,600
ZOZI,26 Aug 2015,9.45,9.45,9.45,9.45,320
ZOZI,27 Aug 2015,9.75,9.75,9.73,9.73,11466
ZOZI,28 Aug 2015,9.74,9.74,9.74,9.74,1122
ZOZI,31 Aug 2015,9.62,9.62,9.62,9.62,1000
ZOZI,01 Sep 2015,0,0,0,0,0
ZOZI,02 Sep 2015,0,0,0,0,0
ZOZI,03 Sep 2015,0,0,0,0,0
ZOZI,04 Sep 2015,9.62,9.62,9.62,9.62,0
ZOZI,07 Sep 2015,0,0,0,0,0
ZOZI,08 Sep 2015,9.62,9.62,9.62,9.62,0
ZOZI,09 Sep 2015,9.63,9.67,9.63,9.67,4264
ZOZI,10 Sep 2015,9.67,9.67,9.67,9.67,0
ZOZI,11 Sep 2015,9.67,9.67,9.67,9.67,0
ZOZI,14 Sep 2015,9.67,9.67,9.67,9.67,0
ZOZI,15 Sep 2015,9.67,9.67,9.67,9.67,0
ZOZI,16 Sep 2015,9.47,9.47,9.47,9.47,100
ZOZI,17 Sep 2015,9.47,9.47,9.47,9.47,0
ZOZI,18 Sep 2015,9.47,9.47,9.47,9.47,0
