Security Code,Date,Opening Price,High Sale Price,Low Sale Price,Closing Price,Total Volume Traded
ZUSD,27 Jul 2015,10.55,10.55,10.53,10.53,4500
ZUSD,28 Jul 2015,10.53,10.53,10.53,10.53,0
ZUSD,29 Jul 2015,10.45,10.45,10.45,10.45,3500
ZUSD,30 Jul 2015,10.45,10.45,10.45,10.45,0
ZUSD,03 Aug 2015,10.45,10.45,10.45,10.45,0
ZUSD,04 Aug 2015,10.55,10.55,10.53,10.53,1955
ZUSD,05 Aug 2015,10.41,10.41,10.41,10.41,950
ZUSD,06 Aug 2015,10.41,10.41,10.41,10.41,0
ZUSD,07 Aug 2015,10.41,10.41,10.41,10.41,0
ZUSD,10 Aug 2015,10.37,10.37,10.37,10.37,1640
ZUSD,12 Aug 2015,10.37,10.37,10.37,10.37,0
ZUSD,13 Aug 2015,10.37,10.37,10.37,10.37,0
ZUSD,14 Aug 2015,0,0,0,0,0
ZUSD,17 Aug 2015,0,0,0,0,0
ZUSD,18 Aug 2015,0,0,0,0,0
ZUSD,19 Aug 2015,0,0,0,0,0
ZUSD,20 Aug 2015,0,0,0,0,0
ZUSD,21 Aug 2015,0,0,0,0,0
ZUSD,24 Aug 2015,0,0,0,0,0
ZUSD,25 Aug 2015,0,0,0,0,0
ZUSD,26 Aug 2015,10.8,10.8,10.8,10.8,250
ZUSD,27 Aug 2015,10.77,10.77,10.77,10.77,4650
ZUSD,28 Aug 2015,0,0,0,0,0
ZUSD,31 Aug 2015,10.74,10.74,10.74,10.74,2772
ZUSD,01 Sep 2015,0,0,0,0,0
ZUSD,02 Sep 2015,0,0,0,0,0
ZUSD,03 Sep 2015,0,0,0,0,0
ZUSD,04 Sep 2015,10.74,10.74,10.74,10.74,0
ZUSD,07 Sep 2015,11.06,11.06,11.06,11.06,7000
ZUSD,08 Sep 2015,11.05,11.05,11.04,11.04,8282
ZUSD,09 Sep 2015,11.04,11.04,11.04,11.04,0
ZUSD,10 Sep 2015,11.04,11.04,11.04,11.04,0
ZUSD,11 Sep 2015,10.85,10.85,10.85,10.85,1400
ZUSD,14 Sep 2015,10.85,10.85,10.85,10.85,0
ZUSD,15 Sep 2015,10.85,10.85,10.85,10.85,0
ZUSD,17 Sep 2015,10.85,10.85,10.85,10.85,0
ZUSD,18 Sep 2015,10.85,10.85,10.85,10.85,0
