Security Code,Date,Opening Price,High Sale Price,Low Sale Price,Closing Price,Total Volume Traded
ZYAU,27 Jul 2015,10,10,10,10,597
ZYAU,28 Jul 2015,10.02,10.02,10.02,10.02,500
ZYAU,29 Jul 2015,10.02,10.02,10.02,10.02,0
ZYAU,30 Jul 2015,10.02,10.02,10.02,10.02,0
ZYAU,31 Jul 2015,10.02,10.02,10.02,10.02,0
ZYAU,03 Aug 2015,10.26,10.26,10.25,10.25,1490
ZYAU,04 Aug 2015,10.25,10.25,10.25,10.25,0
ZYAU,05 Aug 2015,10.3,10.3,10.3,10.3,700
ZYAU,06 Aug 2015,10.3,10.3,10.3,10.3,0
ZYAU,07 Aug 2015,10.12,10.12,10.12,10.12,1100
ZYAU,10 Aug 2015,10.07,10.07,10.07,10.07,403
ZYAU,11 Aug 2015,10.07,10.07,10.07,10.07,500
ZYAU,12 Aug 2015,9.96,9.96,9.88,9.88,690
ZYAU,13 Aug 2015,9.92,9.92,9.92,9.92,910
ZYAU,14 Aug 2015,9.87,9.87,9.8,9.8,1850
ZYAU,17 Aug 2015,0,0,0,0,0
ZYAU,18 Aug 2015,9.78,9.78,9.78,9.78,250
ZYAU,19 Aug 2015,0,0,0,0,0
ZYAU,20 Aug 2015,9.77,9.77,9.77,9.77,1000
ZYAU,21 Aug 2015,9.7,9.7,9.56,9.56,12700
ZYAU,24 Aug 2015,9.25,9.27,9.24,9.27,1429
ZYAU,25 Aug 2015,9.34,9.34,9.34,9.34,870
ZYAU,26 Aug 2015,9.49,9.54,9.49,9.54,2825
ZYAU,27 Aug 2015,0,0,0,0,0
ZYAU,28 Aug 2015,9.7,9.7,9.7,9.7,500
ZYAU,31 Aug 2015,9.63,9.63,9.63,9.63,195
ZYAU,01 Sep 2015,0,0,0,0,0
ZYAU,02 Sep 2015,9.34,9.36,9.34,9.36,1000
ZYAU,03 Sep 2015,9.55,9.55,9.36,9.36,7228
ZYAU,04 Sep 2015,9.36,9.36,9.36,9.36,0
ZYAU,07 Sep 2015,9.25,9.31,9.25,9.31,1150
ZYAU,08 Sep 2015,9.31,9.31,9.31,9.31,0
ZYAU,09 Sep 2015,9.61,9.61,9.61,9.61,514
ZYAU,10 Sep 2015,9.46,9.46,9.46,9.46,1000
ZYAU,11 Sep 2015,9.47,9.48,9.47,9.48,1317
ZYAU,14 Sep 2015,9.4,9.4,9.39,9.39,1310
ZYAU,15 Sep 2015,9.39,9.39,9.3,9.3,2765
ZYAU,16 Sep 2015,9.3,9.3,9.3,9.3,0
ZYAU,17 Sep 2015,9.52,9.52,9.52,9.52,500
ZYAU,18 Sep 2015,9.41,9.41,9.41,9.41,510
ZYAU,21 Sep 2015,9.28,9.28,9.25,9.28,3261
ZYAU,22 Sep 2015,9.28,9.28,9.28,9.28,0
ZYAU,23 Sep 2015,9.28,9.28,9.28,9.28,0
ZYAU,24 Sep 2015,9.28,9.28,9.28,9.28,0
ZYAU,25 Sep 2015,9.28,9.28,9.28,9.28,0
ZYAU,28 Sep 2015,9.28,9.28,9.28,9.28,0
ZYAU,29 Sep 2015,9.22,9.22,9.2,9.2,1000
ZYAU,30 Sep 2015,9.05,9.09,9.05,9.09,735
ZYAU,01 Oct 2015,9.3,9.3,9.3,9.3,505
ZYAU,02 Oct 2015,9.3,9.3,9.3,9.3,0
ZYAU,05 Oct 2015,9.36,9.37,9.36,9.37,900
ZYAU,06 Oct 2015,9.37,9.37,9.37,9.37,0
ZYAU,07 Oct 2015,9.4,9.4,9.39,9.39,300
ZYAU,08 Oct 2015,9.39,9.39,9.39,9.39,0
ZYAU,09 Oct 2015,9.58,9.58,9.54,9.54,6570
ZYAU,12 Oct 2015,9.52,9.52,9.5,9.5,2300
ZYAU,13 Oct 2015,9.41,9.41,9.41,9.41,500
ZYAU,14 Oct 2015,9.35,9.35,9.34,9.34,3420
ZYAU,15 Oct 2015,9.47,9.47,9.47,9.47,60
ZYAU,16 Oct 2015,9.47,9.47,9.47,9.47,0
ZYAU,19 Oct 2015,9.47,9.47,9.47,9.47,0
ZYAU,20 Oct 2015,9.47,9.47,9.47,9.47,0
ZYAU,21 Oct 2015,9.47,9.47,9.47,9.47,0
ZYAU,22 Oct 2015,9.47,9.47,9.47,9.47,0
ZYAU,23 Oct 2015,9.75,9.75,9.75,9.75,505
ZYAU,26 Oct 2015,9.76,9.76,9.73,9.73,4480
ZYAU,27 Oct 2015,9.7,9.7,9.69,9.69,11000
ZYAU,28 Oct 2015,9.69,9.69,9.69,9.69,0
ZYAU,29 Oct 2015,9.72,9.72,9.68,9.68,824
ZYAU,30 Oct 2015,9.68,9.68,9.68,9.68,0
ZYAU,31 Oct 2015,0,0,0,0,0
