Security Code,Date,Opening Price,High Sale Price,Low Sale Price,Closing Price,Total Volume Traded
ZYUS,27 Jul 2015,10.73,10.73,10.73,10.73,3050
ZYUS,28 Jul 2015,10.71,10.71,10.69,10.69,15000
ZYUS,29 Jul 2015,10.69,10.69,10.69,10.69,0
ZYUS,30 Jul 2015,10.8,10.82,10.8,10.81,3740
ZYUS,31 Jul 2015,10.86,10.87,10.86,10.87,565
ZYUS,03 Aug 2015,10.89,10.9,10.89,10.9,1673
ZYUS,04 Aug 2015,10.9,10.93,10.81,10.82,6571
ZYUS,05 Aug 2015,10.72,10.75,10.69,10.75,16586
ZYUS,06 Aug 2015,10.75,10.75,10.75,10.75,0
ZYUS,07 Aug 2015,10.81,10.81,10.78,10.78,2850
ZYUS,10 Aug 2015,10.75,10.77,10.75,10.77,9477
ZYUS,11 Aug 2015,10.79,10.86,10.76,10.86,82090
ZYUS,12 Aug 2015,10.86,10.86,10.86,10.86,0
ZYUS,13 Aug 2015,10.88,10.89,10.88,10.89,1591
ZYUS,14 Aug 2015,10.88,10.89,10.88,10.89,1500
ZYUS,17 Aug 2015,10.97,11.01,10.94,10.95,18557
ZYUS,18 Aug 2015,11,11,10.99,10.99,2300
ZYUS,19 Aug 2015,11.02,11.02,11,11,7545
ZYUS,20 Aug 2015,10.94,10.95,10.94,10.95,2767
ZYUS,21 Aug 2015,10.85,10.89,10.8,10.8,17925
ZYUS,24 Aug 2015,10.7,10.7,10.54,10.54,5185
ZYUS,25 Aug 2015,10.54,10.65,10.53,10.61,17300
ZYUS,26 Aug 2015,10.36,10.45,10.36,10.42,24348
ZYUS,27 Aug 2015,10.66,10.71,10.66,10.69,24832
ZYUS,28 Aug 2015,10.8,10.81,10.74,10.78,11568
ZYUS,31 Aug 2015,10.74,10.76,10.68,10.68,7571
ZYUS,01 Sep 2015,10.6,10.6,10.55,10.58,7708
ZYUS,02 Sep 2015,10.76,10.76,10.74,10.74,11000
ZYUS,03 Sep 2015,10.74,10.76,10.74,10.76,2383
ZYUS,04 Sep 2015,10.82,10.82,10.79,10.79,620
ZYUS,07 Sep 2015,0,0,0,0,0
ZYUS,08 Sep 2015,10.79,10.79,10.79,10.79,0
ZYUS,09 Sep 2015,10.88,10.9,10.88,10.9,301
ZYUS,10 Sep 2015,10.83,10.83,10.79,10.81,15538
ZYUS,11 Sep 2015,10.68,10.72,10.68,10.72,2132
ZYUS,14 Sep 2015,10.75,10.75,10.74,10.74,5347
ZYUS,15 Sep 2015,10.64,10.69,10.63,10.69,2500
ZYUS,16 Sep 2015,10.73,10.73,10.73,10.73,1000
ZYUS,17 Sep 2015,10.75,10.75,10.75,10.75,2000
ZYUS,18 Sep 2015,10.78,10.78,10.78,10.78,277
ZYUS,21 Sep 2015,10.71,10.71,10.68,10.68,1515
ZYUS,22 Sep 2015,10.68,10.68,10.68,10.68,0
ZYUS,23 Sep 2015,10.82,10.82,10.81,10.81,13756
ZYUS,24 Sep 2015,10.93,10.93,10.92,10.92,6126
ZYUS,25 Sep 2015,10.92,10.92,10.92,10.92,0
ZYUS,28 Sep 2015,10.88,10.92,10.83,10.92,13050
ZYUS,29 Sep 2015,10.83,10.85,10.83,10.85,1369
ZYUS,30 Sep 2015,10.76,10.76,10.76,10.76,450
ZYUS,01 Oct 2015,10.76,10.76,10.76,10.76,0
ZYUS,02 Oct 2015,10.8,10.82,10.79,10.82,3300
ZYUS,05 Oct 2015,10.84,10.84,10.84,10.84,3841
ZYUS,06 Oct 2015,10.94,10.94,10.93,10.93,3296
ZYUS,07 Oct 2015,10.85,10.86,10.84,10.84,800
ZYUS,08 Oct 2015,10.84,10.84,10.84,10.84,0
ZYUS,09 Oct 2015,10.9,10.93,10.9,10.93,14660
ZYUS,12 Oct 2015,10.81,10.81,10.8,10.8,1938
ZYUS,13 Oct 2015,10.8,10.8,10.8,10.8,0
ZYUS,14 Oct 2015,10.8,10.8,10.8,10.8,0
ZYUS,15 Oct 2015,10.8,10.8,10.76,10.77,5243
ZYUS,16 Oct 2015,10.77,10.77,10.77,10.77,0
ZYUS,19 Oct 2015,10.98,10.98,10.98,10.98,600
ZYUS,20 Oct 2015,11.04,11.04,11.04,11.04,280
ZYUS,21 Oct 2015,11.03,11.03,11.03,11.03,452
ZYUS,22 Oct 2015,11.03,11.03,11.03,11.03,0
ZYUS,23 Oct 2015,11.33,11.33,11.3,11.3,9973
ZYUS,26 Oct 2015,11.22,11.22,11.14,11.14,6208
ZYUS,27 Oct 2015,11.18,11.18,11.18,11.18,1789
ZYUS,28 Oct 2015,11.24,11.25,11.24,11.25,850
ZYUS,29 Oct 2015,11.25,11.25,11.25,11.25,0
ZYUS,30 Oct 2015,11.44,11.44,11.43,11.43,3776
ZYUS,31 Oct 2015,11.44,11.44,11.43,11.43,3776
ZYUS,02 Nov 2015,11.26,11.26,11.26,11.26,3800
ZYUS,03 Nov 2015,11.29,11.29,11.29,11.29,619
ZYUS,04 Nov 2015,11.28,11.28,11.28,11.28,450
ZYUS,05 Nov 2015,11.31,11.31,11.31,11.31,1303
ZYUS,06 Nov 2015,11.32,11.32,11.31,11.31,3217
ZYUS,09 Nov 2015,11.31,11.31,11.28,11.28,3710
ZYUS,10 Nov 2015,11.26,11.26,11.25,11.25,1061
ZYUS,11 Nov 2015,11.28,11.28,11.25,11.25,7894
ZYUS,12 Nov 2015,11.2,11.21,11.2,11.21,3877
ZYUS,13 Nov 2015,11.05,11.1,11.05,11.08,10376
ZYUS,16 Nov 2015,11.04,11.04,10.98,10.99,29630
ZYUS,17 Nov 2015,11.25,11.25,11.25,11.25,5886
ZYUS,18 Nov 2015,11.25,11.25,11.25,11.25,0
ZYUS,19 Nov 2015,11.25,11.25,11.25,11.25,0
ZYUS,20 Nov 2015,11.2,11.2,11.2,11.2,3491
ZYUS,23 Nov 2015,11.19,11.24,11.19,11.24,6404
ZYUS,24 Nov 2015,11.23,11.23,11.22,11.22,3272
ZYUS,25 Nov 2015,11.12,11.12,11.11,11.12,8542
ZYUS,26 Nov 2015,11.16,11.21,11.16,11.18,21966
ZYUS,27 Nov 2015,11.18,11.18,11.18,11.18,0
ZYUS,30 Nov 2015,11.25,11.25,11.25,11.25,5000
ZYUS,01 Dec 2015,11.18,11.19,11.18,11.19,760
ZYUS,02 Dec 2015,11.1,11.1,11.06,11.06,10187
ZYUS,03 Dec 2015,11.02,11.04,11,11.02,11520
ZYUS,04 Dec 2015,10.9,10.9,10.87,10.87,15090
